doc_id,title,author,source,philosophy,psychology,science,economics,karma,emotion,morality,ideal,individual,community
doc_000000,Hegel's Lectures on the History of Philosophy: Volume 3 (of 3),"Hegel, Georg Wilhelm Friedrich",gutendex,0.20708351,0.0754802,0.20636085,0.008014063,0.12514941,0.027562885,0.1298231,0.14374919,0.061037067,0.01573974
doc_000001,"Moby Dick; Or, The Whale","Melville, Herman",gutendex,0.11123403,0.12385966,0.06685644,0.021034837,0.08321321,0.09577327,0.118992284,0.12289541,0.15890698,0.097233914
doc_000002,Pride and Prejudice,"Austen, Jane",gutendex,0.105390385,0.12890163,0.05484173,0.04347329,0.056835122,0.1740448,0.10442826,0.09472973,0.15589203,0.08146298
doc_000003,"Frankenstein; or, the modern prometheus","Shelley, Mary Wollstonecraft",gutendex,0.1435799,0.079511315,0.12043975,0.018598394,0.07893915,0.08398051,0.13866155,0.11578871,0.14309059,0.07741009
doc_000004,"The City of God, Volume I","Augustine, of Hippo, Saint",gutendex,0.10354549,0.041134536,0.13126154,0.03152612,0.091641895,0.105994135,0.15717362,0.13015546,0.10294681,0.10462045
doc_000005,Romeo and Juliet,"Shakespeare, William",gutendex,0.08067747,0.08290411,0.075866066,0.04784069,0.13474587,0.16571547,0.0926475,0.07298841,0.14012618,0.10648829
doc_000006,Crime and Punishment,"Dostoyevsky, Fyodor",gutendex,0.12055219,0.100306556,0.12867953,0.0,0.1502301,0.08391023,0.1486499,0.077245116,0.1324312,0.05799526
doc_000007,The Count of Monte Cristo,"Dumas, Alexandre; Maquet, Auguste",gutendex,0.09005586,0.09359363,0.10549415,0.03512327,0.12930787,0.11711746,0.10401783,0.101315565,0.1470247,0.07694972
doc_000008,A Room with a View,"Forster, E. M. (Edward Morgan)",gutendex,0.11697787,0.10948872,0.099644,0.015939038,0.08061833,0.13371238,0.07597798,0.12697843,0.1295794,0.11108384
doc_000009,Alice's Adventures in Wonderland,"Carroll, Lewis",gutendex,0.17683837,0.051201206,0.06347342,0.0,0.10641752,0.18180415,0.062096346,0.13531181,0.14494964,0.07790753
doc_000010,Middlemarch,"Eliot, George",gutendex,0.11891839,0.08891771,0.07752274,0.040568784,0.042082448,0.11363352,0.10275195,0.1260661,0.15005985,0.13947853
doc_000011,The Complete Works of William Shakespeare,"Shakespeare, William",gutendex,0.117853254,0.05443653,0.09599028,0.050884657,0.12815566,0.14209831,0.11591304,0.084136546,0.12040997,0.09012181
doc_000012,The strange case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",gutendex,0.14143766,0.109452344,0.13521986,0.0,0.07567906,0.14844522,0.10061462,0.09005862,0.1359653,0.06312725
doc_000013,"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May",gutendex,0.10193872,0.12836829,0.04791423,0.051441405,0.027938917,0.1547363,0.07672337,0.11553204,0.16560438,0.1298023
doc_000014,My Life — Volume 1,"Wagner, Richard",gutendex,0.10371261,0.11057297,0.10082716,0.012436614,0.13028657,0.13150144,0.05847184,0.11199418,0.14941582,0.09078072
doc_000015,Jane Eyre: An Autobiography,"Brontë, Charlotte",gutendex,0.10703496,0.10996584,0.060837127,0.039960735,0.021222599,0.15462448,0.09733182,0.09831743,0.18394381,0.12676114
doc_000016,The King in Yellow,"Chambers, Robert W. (Robert William)",gutendex,0.12530637,0.05483302,0.10808695,0.03651277,0.09313894,0.10419821,0.1212262,0.12078579,0.11500307,0.12090864
doc_000017,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",gutendex,0.1312565,0.09578984,0.10682544,0.00896993,0.0623631,0.15341584,0.08961574,0.100540236,0.18456057,0.06666278
doc_000018,Dracula,"Stoker, Bram",gutendex,0.09712935,0.093797155,0.12699755,0.0,0.07983112,0.111241065,0.14543222,0.093537115,0.13616066,0.11587371
doc_000019,Twenty years after,"Dumas, Alexandre; Maquet, Auguste",gutendex,0.08586519,0.044573843,0.18409823,0.032524645,0.15058735,0.07489251,0.09069221,0.12349891,0.13244937,0.080817804
