doc_id,user_id,x,y,cluster,created_at
doc_000000,9caa93032b8ffb30,7.251281,12.84233,1,2026-06-27T16:30:30
doc_000001,9caa93032b8ffb30,9.566321,9.994622,0,2026-06-27T16:30:30
doc_000002,9caa93032b8ffb30,11.575943,12.86506,6,2026-06-27T16:30:30
doc_000003,9caa93032b8ffb30,10.831516,12.571758,4,2026-06-27T16:30:30
doc_000004,9caa93032b8ffb30,7.9787273,14.304808,5,2026-06-27T16:30:30
doc_000005,9caa93032b8ffb30,9.15777,8.661114,7,2026-06-27T16:30:30
doc_000006,9caa93032b8ffb30,11.446218,8.909423,4,2026-06-27T16:30:30
doc_000007,9caa93032b8ffb30,11.80186,10.505743,4,2026-06-27T16:30:30
doc_000008,9caa93032b8ffb30,9.6518135,8.366619,7,2026-06-27T16:30:30
doc_000009,9caa93032b8ffb30,13.023285,11.401759,4,2026-06-27T16:30:30
doc_000010,9caa93032b8ffb30,11.3367815,9.876055,4,2026-06-27T16:30:30
doc_000011,9caa93032b8ffb30,11.521325,11.189272,1,2026-06-27T16:30:30
doc_000012,9caa93032b8ffb30,10.341138,9.950706,4,2026-06-27T16:30:30
doc_000013,9caa93032b8ffb30,10.621463,11.800257,6,2026-06-27T16:30:30
doc_000014,9caa93032b8ffb30,9.026045,11.119033,2,2026-06-27T16:30:30
doc_000015,9caa93032b8ffb30,10.219711,12.528939,4,2026-06-27T16:30:30
doc_000016,9caa93032b8ffb30,11.572531,8.39852,0,2026-06-27T16:30:30
doc_000017,9caa93032b8ffb30,10.186187,8.918895,0,2026-06-27T16:30:30
doc_000018,9caa93032b8ffb30,10.562967,9.566614,0,2026-06-27T16:30:30
doc_000019,9caa93032b8ffb30,9.813655,9.114609,0,2026-06-27T16:30:30
doc_000020,9caa93032b8ffb30,12.084243,9.015764,7,2026-06-27T16:30:30
doc_000021,9caa93032b8ffb30,8.545811,13.754326,5,2026-06-27T16:30:30
doc_000022,9caa93032b8ffb30,9.325011,13.013458,6,2026-06-27T16:30:30
doc_000023,9caa93032b8ffb30,10.523141,11.1837635,2,2026-06-27T16:30:30
doc_000024,9caa93032b8ffb30,11.54204,8.184421,0,2026-06-27T16:30:30
doc_000025,9caa93032b8ffb30,11.905058,12.027694,0,2026-06-27T16:30:30
doc_000026,9caa93032b8ffb30,9.899301,10.597813,2,2026-06-27T16:30:30
doc_000027,9caa93032b8ffb30,8.34779,13.747797,5,2026-06-27T16:30:30
doc_000028,9caa93032b8ffb30,10.176969,10.415803,4,2026-06-27T16:30:30
doc_000029,9caa93032b8ffb30,11.042038,8.098616,7,2026-06-27T16:30:30
doc_000030,9caa93032b8ffb30,7.6638913,14.593858,5,2026-06-27T16:30:30
doc_000031,9caa93032b8ffb30,9.7707405,11.285387,2,2026-06-27T16:30:30
doc_000032,9caa93032b8ffb30,10.607231,9.45544,0,2026-06-27T16:30:30
doc_000033,9caa93032b8ffb30,10.751827,12.198499,6,2026-06-27T16:30:30
doc_000034,9caa93032b8ffb30,11.1789055,9.145237,0,2026-06-27T16:30:30
doc_000035,9caa93032b8ffb30,8.362858,9.133226,7,2026-06-27T16:30:30
doc_000036,9caa93032b8ffb30,7.535313,14.506334,5,2026-06-27T16:30:30
doc_000037,9caa93032b8ffb30,11.399532,9.782812,1,2026-06-27T16:30:30
doc_000038,9caa93032b8ffb30,9.0393505,13.598783,5,2026-06-27T16:30:30
doc_000039,9caa93032b8ffb30,9.791467,10.774264,2,2026-06-27T16:30:30
