id,card_id,doc_id,card_name,source_title,author,source,primary_attribute,secondary_attribute,hp,attack,embedding_score,stat_physical_attack,stat_skill_attack,stat_physical_defense,stat_speed,stat_luck,stat_evasion,stat_skill_defense,stat_accuracy,stat_hp,stat_sp,rarity_seed,skill_seed,philosophy,psychology,science,economics,karma,emotion,morality,ideal,individual,community
sample_001,sample_001,doc_sample_001,Crimson Thesis,Crimson Thesis,Source of Thought,sample,Fire,Light,142,58,0.91,58,44,32,41,20,18,28,72,62,36,101,301,35,18,22,12,9,31,24,28,16,19
sample_002,sample_002,doc_sample_002,Tidal Memory,Tidal Memory,Source of Thought,sample,Water,Dark,158,42,0.87,42,61,36,34,24,22,39,68,78,44,102,302,18,38,14,17,12,35,26,20,21,28
sample_003,sample_003,doc_sample_003,Gale Inquiry,Gale Inquiry,Source of Thought,sample,Wind,Light,128,63,0.83,63,51,24,58,31,34,26,79,48,39,103,303,29,24,28,11,10,23,18,37,32,17
sample_004,sample_004,doc_sample_004,Stone Covenant,Stone Covenant,Source of Thought,sample,Earth,Water,176,39,0.76,39,35,58,22,27,12,44,55,96,30,104,304,21,17,26,33,19,18,39,16,24,35
sample_005,sample_005,doc_sample_005,Aurora Syntax,Aurora Syntax,Source of Thought,sample,Light,Wind,136,55,0.89,55,67,29,46,33,28,34,74,56,52,105,305,41,21,31,18,11,20,27,44,30,22
sample_006,sample_006,doc_sample_006,Nocturne Engine,Nocturne Engine,Source of Thought,sample,Dark,Fire,150,64,0.81,64,70,27,38,36,21,31,62,70,46,106,306,24,35,39,29,18,16,15,25,42,20
sample_007,sample_007,doc_sample_007,Ember Archive,Ember Archive,Source of Thought,sample,Fire,Earth,168,60,0.74,60,40,45,29,22,15,36,64,88,32,107,307,20,15,25,24,31,33,30,19,18,34
sample_008,sample_008,doc_sample_008,Blue Monad,Blue Monad,Source of Thought,sample,Water,Light,144,49,0.86,49,59,33,37,26,25,41,69,64,41,108,308,37,32,18,16,14,27,35,30,20,24
sample_009,sample_009,doc_sample_009,Zephyr Index,Zephyr Index,Source of Thought,sample,Wind,Dark,122,57,0.79,57,52,22,62,29,39,24,82,42,38,109,309,16,29,36,15,13,30,19,27,39,17
sample_010,sample_010,doc_sample_010,Terra Mirror,Terra Mirror,Source of Thought,sample,Earth,Light,184,44,0.72,44,38,61,21,34,11,48,58,104,35,110,310,34,14,19,38,27,21,42,22,18,40
sample_011,sample_011,doc_sample_011,Lucent Question,Lucent Question,Source of Thought,sample,Light,Water,132,53,0.93,53,66,28,48,30,26,37,76,52,50,111,311,44,26,23,12,9,24,32,45,25,21
sample_012,sample_012,doc_sample_012,Obsidian Loop,Obsidian Loop,Source of Thought,sample,Dark,Wind,154,66,0.84,66,72,25,43,39,27,30,63,74,49,112,312,26,41,33,27,21,19,18,29,37,23
sample_013,sample_013,doc_sample_013,Flame Dialectic,Flame Dialectic,Source of Thought,sample,Fire,Wind,140,62,0.78,62,55,30,50,23,24,29,70,60,40,113,313,39,20,21,14,15,36,28,34,22,18
sample_014,sample_014,doc_sample_014,River Signal,River Signal,Source of Thought,sample,Water,Earth,162,45,0.80,45,58,39,31,25,19,42,66,82,43,114,314,19,34,17,22,20,39,29,24,16,33
sample_015,sample_015,doc_sample_015,Windborne Proof,Windborne Proof,Source of Thought,sample,Wind,Fire,126,68,0.88,68,48,23,65,35,43,22,84,46,37,115,315,31,22,41,19,10,18,16,32,44,15
sample_016,sample_016,doc_sample_016,Mountain Ethics,Mountain Ethics,Source of Thought,sample,Earth,Dark,190,41,0.77,41,36,64,19,28,10,50,57,110,28,116,316,23,16,20,35,30,22,46,17,15,43
sample_017,sample_017,doc_sample_017,Prismatic Ideal,Prismatic Ideal,Source of Thought,sample,Light,Fire,138,56,0.90,56,69,27,44,32,27,35,78,58,54,117,317,42,23,29,13,8,25,31,48,27,20
sample_018,sample_018,doc_sample_018,Eclipse Method,Eclipse Method,Source of Thought,sample,Dark,Water,160,59,0.82,59,73,34,36,37,23,32,65,80,47,118,318,22,43,37,25,24,20,21,28,34,26
sample_019,sample_019,doc_sample_019,Ashen Civilization,Ashen Civilization,Source of Thought,sample,Fire,Dark,152,61,0.75,61,46,37,40,21,17,33,67,72,33,119,319,27,19,28,34,32,29,26,23,24,38
sample_020,sample_020,doc_sample_020,Pearl Reflection,Pearl Reflection,Source of Thought,sample,Water,Wind,146,50,0.85,50,60,31,42,28,29,40,71,66,45,120,320,36,37,16,18,11,34,30,31,23,27
sample_021,sample_021,doc_sample_021,Storm Paradox,Storm Paradox,Source of Thought,sample,Wind,Earth,134,65,0.73,65,54,26,60,33,36,27,81,54,42,121,321,28,25,35,21,17,24,22,30,41,19
sample_022,sample_022,doc_sample_022,Clay Testament,Clay Testament,Source of Thought,sample,Earth,Fire,172,47,0.70,47,43,55,25,20,14,45,60,92,34,122,322,18,18,24,37,26,27,40,21,20,36
sample_023,sample_023,doc_sample_023,Golden Recursion,Golden Recursion,Source of Thought,sample,Light,Dark,130,60,0.94,60,74,24,52,38,31,38,83,50,56,123,323,45,28,34,15,12,18,23,46,36,18
sample_024,sample_024,doc_sample_024,Black Compass,Black Compass,Source of Thought,sample,Dark,Earth,166,63,0.79,63,68,35,35,40,20,36,61,86,44,124,324,21,39,32,30,25,17,20,24,35,29
sample_025,sample_025,doc_sample_025,Cinder Logic,Cinder Logic,Source of Thought,sample,Fire,Water,148,59,0.82,59,50,34,47,24,21,30,73,68,39,125,325,33,21,30,20,18,32,25,33,28,22
sample_026,sample_026,doc_sample_026,Deep Current,Deep Current,Source of Thought,sample,Water,Fire,170,46,0.78,46,62,43,30,27,18,43,67,90,48,126,326,20,36,22,24,23,37,33,26,19,31
sample_027,sample_027,doc_sample_027,Sky Grammar,Sky Grammar,Source of Thought,sample,Wind,Light,124,61,0.86,61,57,21,64,30,41,25,85,44,40,127,327,32,26,39,13,9,21,17,35,43,16
sample_028,sample_028,doc_sample_028,Root Mandala,Root Mandala,Source of Thought,sample,Earth,Wind,188,43,0.71,43,39,60,23,26,13,47,59,108,32,128,328,25,17,27,36,28,23,44,18,17,41
sample_029,sample_029,doc_sample_029,White Algorithm,White Algorithm,Source of Thought,sample,Light,Earth,142,54,0.92,54,71,30,45,35,30,36,80,62,53,129,329,43,24,38,19,10,19,24,47,33,20
sample_030,sample_030,doc_sample_030,Void Lullaby,Void Lullaby,Source of Thought,sample,Dark,Light,156,67,0.88,67,76,26,39,42,28,34,66,76,51,130,330,29,44,31,23,22,26,19,27,32,25
